Name                                                               Type                   Forward_MACs     FPercent    Memory          MPercent    Params       PPercent    InShape          OutShape
/backbone/backbone.0/layers.0/Equal_34                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.0/Equal_35                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal                                Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_1                              Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_2                              Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_3                              Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_4                              Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_5                              Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_6                              Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_7                              Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_8                              Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_9                              Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_10                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_11                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_12                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_13                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_14                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_15                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_16                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_17                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_18                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_19                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_20                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_21                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_22                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_23                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_24                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_25                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.1/Equal_26                             Equal                  4                0.00%       4               0.00%       0            0.00%       4                4
